date,close,high,low
2013-03-28,266.4900,277.4000,252.0700
2013-02-28,264.2700,274.3000,255.1100
2013-01-31,265.5000,284.7200,253.2600
2012-12-31,250.8700,263.1100,242.7500
2012-11-30,252.0500,252.6500,218.1800
2012-10-31,232.8931,261.9000,222.9200
2012-09-28,254.3200,264.1100,244.6600
2012-08-31,248.2700,250.0000,228.6600
2012-07-31,233.3000,240.7400,212.6100
2012-06-29,228.3500,228.3500,206.3700
2012-05-31,212.9100,232.9700,207.1100
2012-04-30,231.9000,233.8400,183.6500
2012-03-30,202.5100,209.8500,176.5800
2012-02-29,179.6900,193.5700,172.0000
2012-01-31,194.4400,196.5000,173.5000
2011-12-30,173.1000,199.6600,166.9700
2011-11-30,192.2900,222.3500,181.5100
2011-10-31,213.5100,246.7100,196.5100
2011-09-30,216.2300,244.0000,204.4700
2011-08-31,215.2300,227.4500,177.1000
2011-07-29,222.5200,227.2000,203.6100
2011-06-30,204.4900,206.2500,181.5900
2011-05-31,196.6900,206.3900,190.8800
2011-04-29,195.8100,197.8000,175.3700
2011-03-31,180.1300,181.5700,160.5900
2011-02-28,173.2900,191.4000,169.5100
2011-01-31,169.6400,191.6000,166.9000
2010-12-31,180.0000,185.6500,173.0900
2010-11-30,175.4000,181.8425,156.7700
2010-10-29,165.2300,171.9900,151.4000
2010-09-30,157.0600,161.7800,126.1700
2010-08-31,124.8300,130.8100,117.5700
2010-07-30,117.8900,124.8800,105.8000
2010-06-30,109.2600,129.1500,106.0100
2010-05-28,125.4600,139.4400,117.5200
2010-04-30,137.1000,151.0900,130.7800
2010-03-31,135.7700,138.1900,117.5300
2010-02-26,118.4000,124.8600,113.8200
2010-01-29,125.4100,136.6100,118.1200
2009-12-31,134.5200,145.9100,125.6474
2009-11-30,135.9100,136.0800,116.2500
2009-10-30,118.8100,125.6800,88.2700
2009-09-30,93.3600,94.5000,77.5100
2009-08-31,81.1900,88.2000,80.2500
2009-07-31,85.7600,94.4000,75.4100
2009-06-30,83.6600,88.5600,76.2500
2009-05-29,77.9900,83.6000,73.1000
2009-04-30,80.5200,86.6800,71.7100
2009-03-31,73.4400,75.6100,59.8200
2009-02-27,64.7900,67.3600,58.1300
2009-01-30,58.8200,59.7400,47.6300
2008-12-31,51.2800,54.8500,38.8200
2008-11-28,42.7000,58.7300,34.6800
2008-10-31,57.2400,71.9900,43.3100
2008-09-30,72.7600,86.7700,61.3200
2008-08-29,80.8100,91.7500,74.0500
2008-07-31,76.3400,82.3800,62.9900
2008-06-30,73.3300,84.8800,72.6200
2008-05-30,81.6200,84.7500,71.5600
2008-04-30,78.6300,82.6400,70.6500
2008-03-31,71.3000,76.9300,61.2000
2008-02-29,64.4700,79.4000,63.9700
2008-01-31,77.7000,97.4300,68.8400
2007-12-31,92.6400,95.9400,83.8600
2007-11-30,90.5600,91.4700,76.5000
2007-10-31,89.1500,101.0900,83.2700
2007-09-28,93.1500,94.2600,79.7300
2007-08-31,79.9100,80.8000,70.0500
2007-07-31,78.5400,89.0000,68.0100
2007-06-29,68.4100,74.7200,66.7100
2007-05-31,69.1400,73.3100,59.7000
2007-04-30,61.3300,63.8400,39.5500
2007-03-30,39.7900,40.2400,37.0400
2007-02-28,39.1400,42.0000,36.6800
2007-01-31,37.6700,39.1400,36.3000
2006-12-29,39.4600,40.6400,37.7000
2006-11-30,40.3400,43.2500,36.8700
2006-10-31,38.0900,38.5900,30.5800
2006-09-29,32.1200,32.8100,29.6800
2006-08-31,30.8300,30.9900,25.7600
2006-07-31,26.8900,38.6200,25.9600
2006-06-30,38.6800,38.8400,32.4200
2006-05-31,34.6100,36.5000,31.5200
2006-04-28,35.2100,38.8400,35.0100
2006-03-31,36.5300,37.8300,35.1391
2006-02-28,37.4400,44.6900,37.0500
2006-01-31,44.8200,48.5800,43.1000
2005-12-30,47.1500,50.0010,47.1400
2005-11-30,48.4600,49.4300,39.6500
2005-10-31,39.8600,47.0000,38.7200
2005-09-30,45.3000,45.8400,40.5000
2005-08-31,42.7000,46.9700,41.9100
2005-07-29,45.1500,45.8100,32.7900
2005-06-30,33.0900,36.9900,32.9300
2005-05-31,35.5100,36.0400,32.1000
2005-04-29,32.3600,35.3400,30.6000
2005-03-31,34.2700,36.5000,32.8200
2005-02-28,35.1800,43.5900,33.2000
2005-01-31,43.2200,45.4400,40.2600
2004-12-31,44.2900,45.6800,37.9900
2004-11-30,39.6800,41.5000,34.1500
2004-10-29,34.1300,42.7000,33.0000
2004-09-30,40.8600,44.2800,37.3600
2004-08-31,38.1400,40.8300,34.8500
2004-07-30,38.9200,54.0400,37.3800
2004-06-30,54.4000,54.7000,47.7000
2004-05-28,48.5000,48.6800,40.5500
2004-04-30,43.6000,49.1000,43.3000
2004-03-31,43.2800,45.0600,39.1500
2004-02-27,43.0100,50.6500,42.2300
2004-01-30,50.4000,57.8200,48.6000
2003-12-31,52.6200,54.9400,47.0000
2003-11-28,53.9700,57.4900,47.6700
2003-10-31,54.4300,61.1500,47.5100
2003-09-30,48.4300,51.3000,44.7300
